Team,Wins,Losses,GP,Win_Pct,PF,PA,Avg_Margin,School_Slug,Conference,Opp_Win_Pct,Opp_Opp_Win_Pct,SOS
North Bergen,6,2,8,0.75,231,139,11.5,north-bergen-north-bergen,SFC,0.4826,0.4648,0.4767
Dickinson,5,3,8,0.625,198,106,11.5,jersey-city-dickinson,SFC,0.4187,0.4781,0.4385
Manalapan,7,4,11,0.6364,312,186,11.455,manalapan-manalapan,Shore,0.488,0.5165,0.4975
Morristown-Beard,5,4,9,0.5556,240,138,11.333,morristown-morristown-beard,Independent,0.1111,0.4745,0.2323
St. Joseph (Mont.),10,2,12,0.8333,304,170,11.167,montvale-st-joseph-mont,SFC,0.562,0.5708,0.565
Piscataway,8,3,11,0.7273,288,167,11.0,piscataway-piscataway,Big Central,0.4686,0.4772,0.4715
St. Joseph (Met.),8,2,10,0.8,255,151,10.4,metuchen-st-joseph-met,Big Central,0.5073,0.5122,0.5089
Ewing,7,3,10,0.7,296,194,10.2,ewing-ewing,WJFL,0.5374,0.4906,0.5218
River Dell,7,4,11,0.6364,321,209,10.182,oradell-river-dell,SFC,0.4459,0.5232,0.4717
Mainland,7,5,12,0.5833,321,200,10.083,linwood-mainland,WJFL,0.5491,0.5414,0.5465
Newton,5,4,9,0.5556,292,202,10.0,newton-newton,SFC,0.5217,0.498,0.5138
Riverside,7,3,10,0.7,286,186,10.0,riverside-riverside,WJFL,0.4895,0.4722,0.4838
